geo_fips,geo_name,geo_level,state_fips,state_abbr,state_name
0103076,Auburn,city,01,AL,Alabama
0107000,Birmingham,city,01,AL,Alabama
0120104,Decatur,city,01,AL,Alabama
0121184,Dothan,city,01,AL,Alabama
0135896,Hoover,city,01,AL,Alabama
0137000,Huntsville,city,01,AL,Alabama
0145784,Madison,city,01,AL,Alabama
0150000,Mobile,city,01,AL,Alabama
0151000,Montgomery,city,01,AL,Alabama
0177256,Tuscaloosa,city,01,AL,Alabama
0203000,Anchorage,city,02,AK,Alaska
0240950,Kodiak,city,02,AK,Alaska
0404720,Avondale,city,04,AZ,Arizona
0407940,Buckeye,city,04,AZ,Arizona
0410530,Casa Grande,city,04,AZ,Arizona
0412000,Chandler,city,04,AZ,Arizona
0423620,Flagstaff,city,04,AZ,Arizona
0427400,Gilbert,city,04,AZ,Arizona
0427820,Glendale,city,04,AZ,Arizona
0428380,Goodyear,city,04,AZ,Arizona
0437620,Kingman,city,04,AZ,Arizona
0439370,Lake Havasu City,city,04,AZ,Arizona
0444270,Marana,city,04,AZ,Arizona
0444410,Maricopa,city,04,AZ,Arizona
0446000,Mesa,city,04,AZ,Arizona
0454050,Peoria,city,04,AZ,Arizona
0455000,Phoenix,city,04,AZ,Arizona
0458150,Queen Creek,city,04,AZ,Arizona
0465000,Scottsdale,city,04,AZ,Arizona
0471510,Surprise,city,04,AZ,Arizona
0473000,Tempe,city,04,AZ,Arizona
0477000,Tucson,city,04,AZ,Arizona
0485540,Yuma,city,04,AZ,Arizona
0500970,Alma,city,05,AR,Arkansas
0505320,Bentonville,city,05,AR,Arkansas
0515190,Conway,city,05,AR,Arkansas
0523290,Fayetteville,city,05,AR,Arkansas
0524550,Fort Smith,city,05,AR,Arkansas
0535710,Jonesboro,city,05,AR,Arkansas
0541000,Little Rock,city,05,AR,Arkansas
0550450,North Little Rock,city,05,AR,Arkansas
0560410,Rogers,city,05,AR,Arkansas
0566080,Springdale,city,05,AR,Arkansas
0600562,Alameda,city,06,CA,California
0600884,Alhambra,city,06,CA,California
0600947,Aliso Viejo,city,06,CA,California
0602000,Anaheim,city,06,CA,California
0602252,Antioch,city,06,CA,California
0602364,Apple Valley,city,06,CA,California
0602462,Arcadia,city,06,CA,California
0603386,Azusa,city,06,CA,California
0603526,Bakersfield,city,06,CA,California
0603666,Baldwin Park,city,06,CA,California
0604758,Beaumont,city,06,CA,California
0604982,Bellflower,city,06,CA,California
0606000,Berkeley,city,06,CA,California
0608142,Brentwood,city,06,CA,California
0608786,Buena Park,city,06,CA,California
0608954,Burbank,city,06,CA,California
0610046,Camarillo,city,06,CA,California
0611194,Carlsbad,city,06,CA,California
0611446,Carpinteria,city,06,CA,California
0611530,Carson,city,06,CA,California
0612048,Cathedral City,city,06,CA,California
0612552,Cerritos,city,06,CA,California
0613014,Chico,city,06,CA,California
0613210,Chino,city,06,CA,California
0613214,Chino Hills,city,06,CA,California
0613392,Chula Vista,city,06,CA,California
0613588,Citrus Heights,city,06,CA,California
0614218,Clovis,city,06,CA,California
0614890,Colton,city,06,CA,California
0615044,Compton,city,06,CA,California
0616000,Concord,city,06,CA,California
0616350,Corona,city,06,CA,California
0616532,Costa Mesa,city,06,CA,California
0616742,Covina,city,06,CA,California
0617610,Cupertino,city,06,CA,California
0617750,Cypress,city,06,CA,California
0617918,Daly City,city,06,CA,California
0618100,Davis,city,06,CA,California
0618394,Delano,city,06,CA,California
0619192,Diamond Bar,city,06,CA,California
0619766,Downey,city,06,CA,California
0620018,Dublin,city,06,CA,California
0621230,Eastvale,city,06,CA,California
0621712,El Cajon,city,06,CA,California
0622020,Elk Grove,city,06,CA,California
0622230,El Monte,city,06,CA,California
0622678,Encinitas,city,06,CA,California
0622804,Escondido,city,06,CA,California
0623182,Fairfield,city,06,CA,California
0624638,Folsom,city,06,CA,California
0624680,Fontana,city,06,CA,California
0625380,Fountain Valley,city,06,CA,California
0626000,Fremont,city,06,CA,California
0627000,Fresno,city,06,CA,California
0628000,Fullerton,city,06,CA,California
0628168,Gardena,city,06,CA,California
0629000,Garden Grove,city,06,CA,California
0629504,Gilroy,city,06,CA,California
0630000,Glendale,city,06,CA,California
0630014,Glendora,city,06,CA,California
0631960,Hanford,city,06,CA,California
0632548,Hawthorne,city,06,CA,California
0633000,Hayward,city,06,CA,California
0633182,Hemet,city,06,CA,California
0633434,Hesperia,city,06,CA,California
0633588,Highland,city,06,CA,California
0636000,Huntington Beach,city,06,CA,California
0636056,Huntington Park,city,06,CA,California
0636448,Indio,city,06,CA,California
0636546,Inglewood,city,06,CA,California
0636770,Irvine,city,06,CA,California
0637692,Jurupa Valley,city,06,CA,California
0639248,Laguna Niguel,city,06,CA,California
0639290,La Habra,city,06,CA,California
0639486,Lake Elsinore,city,06,CA,California
0639496,Lake Forest,city,06,CA,California
0639892,Lakewood,city,06,CA,California
0640004,La Mesa,city,06,CA,California
0640130,Lancaster,city,06,CA,California
0641992,Livermore,city,06,CA,California
0642202,Lodi,city,06,CA,California
0642524,Lompoc,city,06,CA,California
0643000,Long Beach,city,06,CA,California
0644000,Los Angeles,city,06,CA,California
0644574,Lynwood,city,06,CA,California
0645022,Madera,city,06,CA,California
0645484,Manteca,city,06,CA,California
0646842,Menifee,city,06,CA,California
0646898,Merced,city,06,CA,California
0647766,Milpitas,city,06,CA,California
0648256,Mission Viejo,city,06,CA,California
0648354,Modesto,city,06,CA,California
0648816,Montebello,city,06,CA,California
0648914,Monterey Park,city,06,CA,California
0649270,Moreno Valley,city,06,CA,California
0649670,Mountain View,city,06,CA,California
0650076,Murrieta,city,06,CA,California
0650258,Napa,city,06,CA,California
0650398,National City,city,06,CA,California
0651182,Newport Beach,city,06,CA,California
0652526,Norwalk,city,06,CA,California
0652582,Novato,city,06,CA,California
0653000,Oakland,city,06,CA,California
0653322,Oceanside,city,06,CA,California
0653896,Ontario,city,06,CA,California
0653980,Orange,city,06,CA,California
0654652,Oxnard,city,06,CA,California
0655156,Palmdale,city,06,CA,California
0655184,Palm Desert,city,06,CA,California
0655282,Palo Alto,city,06,CA,California
0655618,Paramount,city,06,CA,California
0656000,Pasadena,city,06,CA,California
0656700,Perris,city,06,CA,California
0656784,Petaluma,city,06,CA,California
0656924,Pico Rivera,city,06,CA,California
