geo_fips,geo_name,geo_level,parent_fips,parent_name,parent_level,state_fips,state_abbr,state_name,census_parent_shape_year
01081040201,040201,tract,0103076,Auburn,city,01,AL,Alabama,2020
01081040202,040202,tract,0103076,Auburn,city,01,AL,Alabama,2020
01081040300,040300,tract,0103076,Auburn,city,01,AL,Alabama,2020
01081040401,040401,tract,0103076,Auburn,city,01,AL,Alabama,2020
01081040402,040402,tract,0103076,Auburn,city,01,AL,Alabama,2020
01081040403,040403,tract,0103076,Auburn,city,01,AL,Alabama,2020
01081040501,040501,tract,0103076,Auburn,city,01,AL,Alabama,2020
01081040502,040502,tract,0103076,Auburn,city,01,AL,Alabama,2020
01081040602,040602,tract,0103076,Auburn,city,01,AL,Alabama,2020
01081040603,040603,tract,0103076,Auburn,city,01,AL,Alabama,2020
01081040605,040605,tract,0103076,Auburn,city,01,AL,Alabama,2020
01081040606,040606,tract,0103076,Auburn,city,01,AL,Alabama,2020
01081040607,040607,tract,0103076,Auburn,city,01,AL,Alabama,2020
01081040700,040700,tract,0103076,Auburn,city,01,AL,Alabama,2020
01081040801,040801,tract,0103076,Auburn,city,01,AL,Alabama,2020
01081040802,040802,tract,0103076,Auburn,city,01,AL,Alabama,2020
01081040901,040901,tract,0103076,Auburn,city,01,AL,Alabama,2020
01081040903,040903,tract,0103076,Auburn,city,01,AL,Alabama,2020
01081040904,040904,tract,0103076,Auburn,city,01,AL,Alabama,2020
01081041001,041001,tract,0103076,Auburn,city,01,AL,Alabama,2020
01081041002,041002,tract,0103076,Auburn,city,01,AL,Alabama,2020
01081041101,041101,tract,0103076,Auburn,city,01,AL,Alabama,2020
01081041102,041102,tract,0103076,Auburn,city,01,AL,Alabama,2020
01081041103,041103,tract,0103076,Auburn,city,01,AL,Alabama,2020
01081041701,041701,tract,0103076,Auburn,city,01,AL,Alabama,2020
01081042101,042101,tract,0103076,Auburn,city,01,AL,Alabama,2020
01081042104,042104,tract,0103076,Auburn,city,01,AL,Alabama,2020
01073000100,000100,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073000300,000300,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073000400,000400,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073000500,000500,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073000700,000700,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073000800,000800,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073001100,001100,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073001200,001200,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073001400,001400,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073001500,001500,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073001600,001600,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073001902,001902,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073002000,002000,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073002100,002100,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073002200,002200,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073002303,002303,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073002305,002305,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073002306,002306,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073002401,002401,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073002402,002402,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073002701,002701,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073002702,002702,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073002900,002900,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073003001,003001,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073003002,003002,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073003100,003100,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073003200,003200,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073003300,003300,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073003400,003400,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073003500,003500,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073003600,003600,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073003700,003700,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073003802,003802,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073003803,003803,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073003900,003900,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073004000,004000,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073004200,004200,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073004501,004501,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073004502,004502,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073004701,004701,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073004702,004702,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073004800,004800,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073004901,004901,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073004902,004902,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073005000,005000,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073005101,005101,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073005103,005103,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073005104,005104,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073005200,005200,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073005302,005302,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073005500,005500,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073005600,005600,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073005701,005701,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073005702,005702,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073005800,005800,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073005903,005903,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073005905,005905,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073005907,005907,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073005908,005908,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073005909,005909,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073005910,005910,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073010302,010302,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073010500,010500,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073010604,010604,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073010701,010701,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073010703,010703,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073010706,010706,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073010801,010801,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073010802,010802,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073010803,010803,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073010806,010806,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073010807,010807,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073010900,010900,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073011108,011108,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073011112,011112,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073011113,011113,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073011115,011115,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073011205,011205,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073011207,011207,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073011209,011209,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073011210,011210,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073011600,011600,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073011803,011803,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073011804,011804,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073011901,011901,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073011904,011904,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073012001,012001,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073012004,012004,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073012104,012104,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073012200,012200,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073012302,012302,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073012304,012304,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073012306,012306,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073012401,012401,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073012402,012402,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073012500,012500,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073012602,012602,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073012701,012701,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073012703,012703,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073012704,012704,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073012804,012804,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073012805,012805,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073012910,012910,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073012911,012911,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073013002,013002,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073013100,013100,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073013200,013200,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073013300,013300,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073013901,013901,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073014303,014303,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073014304,014304,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073014404,014404,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01073014415,014415,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01117030212,030212,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01117030221,030221,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01117030347,030347,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01117980100,980100,tract,0107000,Birmingham,city,01,AL,Alabama,2020
01083021101,021101,tract,0120104,Decatur,city,01,AL,Alabama,2020
01083021203,021203,tract,0120104,Decatur,city,01,AL,Alabama,2020
01103000100,000100,tract,0120104,Decatur,city,01,AL,Alabama,2020
01103000200,000200,tract,0120104,Decatur,city,01,AL,Alabama,2020
01103000300,000300,tract,0120104,Decatur,city,01,AL,Alabama,2020
01103000400,000400,tract,0120104,Decatur,city,01,AL,Alabama,2020
01103000600,000600,tract,0120104,Decatur,city,01,AL,Alabama,2020
01103000700,000700,tract,0120104,Decatur,city,01,AL,Alabama,2020
01103000800,000800,tract,0120104,Decatur,city,01,AL,Alabama,2020
01103000900,000900,tract,0120104,Decatur,city,01,AL,Alabama,2020
01103001000,001000,tract,0120104,Decatur,city,01,AL,Alabama,2020
01103005101,005101,tract,0120104,Decatur,city,01,AL,Alabama,2020
01103005103,005103,tract,0120104,Decatur,city,01,AL,Alabama,2020
01103005105,005105,tract,0120104,Decatur,city,01,AL,Alabama,2020
01103005106,005106,tract,0120104,Decatur,city,01,AL,Alabama,2020
01103005107,005107,tract,0120104,Decatur,city,01,AL,Alabama,2020
01103005108,005108,tract,0120104,Decatur,city,01,AL,Alabama,2020
01103005109,005109,tract,0120104,Decatur,city,01,AL,Alabama,2020
01103005302,005302,tract,0120104,Decatur,city,01,AL,Alabama,2020
01103005305,005305,tract,0120104,Decatur,city,01,AL,Alabama,2020
01103005306,005306,tract,0120104,Decatur,city,01,AL,Alabama,2020
01103005404,005404,tract,0120104,Decatur,city,01,AL,Alabama,2020
01045021300,021300,tract,0121184,Dothan,city,01,AL,Alabama,2020
01045021400,021400,tract,0121184,Dothan,city,01,AL,Alabama,2020
01067030500,030500,tract,0121184,Dothan,city,01,AL,Alabama,2020
01069040100,040100,tract,0121184,Dothan,city,01,AL,Alabama,2020
01069040203,040203,tract,0121184,Dothan,city,01,AL,Alabama,2020
01069040204,040204,tract,0121184,Dothan,city,01,AL,Alabama,2020
01069040205,040205,tract,0121184,Dothan,city,01,AL,Alabama,2020
01069040206,040206,tract,0121184,Dothan,city,01,AL,Alabama,2020
01069040301,040301,tract,0121184,Dothan,city,01,AL,Alabama,2020
01069040302,040302,tract,0121184,Dothan,city,01,AL,Alabama,2020
01069040400,040400,tract,0121184,Dothan,city,01,AL,Alabama,2020
01069040500,040500,tract,0121184,Dothan,city,01,AL,Alabama,2020
01069040600,040600,tract,0121184,Dothan,city,01,AL,Alabama,2020
01069040700,040700,tract,0121184,Dothan,city,01,AL,Alabama,2020
01069040801,040801,tract,0121184,Dothan,city,01,AL,Alabama,2020
01069040802,040802,tract,0121184,Dothan,city,01,AL,Alabama,2020
01069040900,040900,tract,0121184,Dothan,city,01,AL,Alabama,2020
01069041000,041000,tract,0121184,Dothan,city,01,AL,Alabama,2020
01069041100,041100,tract,0121184,Dothan,city,01,AL,Alabama,2020
01069041200,041200,tract,0121184,Dothan,city,01,AL,Alabama,2020
01069041400,041400,tract,0121184,Dothan,city,01,AL,Alabama,2020
01069041500,041500,tract,0121184,Dothan,city,01,AL,Alabama,2020
01069041600,041600,tract,0121184,Dothan,city,01,AL,Alabama,2020
01069041901,041901,tract,0121184,Dothan,city,01,AL,Alabama,2020
01069042000,042000,tract,0121184,Dothan,city,01,AL,Alabama,2020
01069042100,042100,tract,0121184,Dothan,city,01,AL,Alabama,2020
01073012704,012704,tract,0135896,Hoover,city,01,AL,Alabama,2020
01073012907,012907,tract,0135896,Hoover,city,01,AL,Alabama,2020
01073012908,012908,tract,0135896,Hoover,city,01,AL,Alabama,2020
01073012910,012910,tract,0135896,Hoover,city,01,AL,Alabama,2020
01073012913,012913,tract,0135896,Hoover,city,01,AL,Alabama,2020
01073012917,012917,tract,0135896,Hoover,city,01,AL,Alabama,2020
01073012918,012918,tract,0135896,Hoover,city,01,AL,Alabama,2020
01073012919,012919,tract,0135896,Hoover,city,01,AL,Alabama,2020
01073014205,014205,tract,0135896,Hoover,city,01,AL,Alabama,2020
01073014208,014208,tract,0135896,Hoover,city,01,AL,Alabama,2020
01073014209,014209,tract,0135896,Hoover,city,01,AL,Alabama,2020
01073014303,014303,tract,0135896,Hoover,city,01,AL,Alabama,2020
01073014304,014304,tract,0135896,Hoover,city,01,AL,Alabama,2020
01073014404,014404,tract,0135896,Hoover,city,01,AL,Alabama,2020
01073014405,014405,tract,0135896,Hoover,city,01,AL,Alabama,2020
01073014406,014406,tract,0135896,Hoover,city,01,AL,Alabama,2020
01073014408,014408,tract,0135896,Hoover,city,01,AL,Alabama,2020
01073014409,014409,tract,0135896,Hoover,city,01,AL,Alabama,2020
01073014410,014410,tract,0135896,Hoover,city,01,AL,Alabama,2020
01073014412,014412,tract,0135896,Hoover,city,01,AL,Alabama,2020
01073014414,014414,tract,0135896,Hoover,city,01,AL,Alabama,2020
01073014415,014415,tract,0135896,Hoover,city,01,AL,Alabama,2020
01117030212,030212,tract,0135896,Hoover,city,01,AL,Alabama,2020
01117030216,030216,tract,0135896,Hoover,city,01,AL,Alabama,2020
01117030220,030220,tract,0135896,Hoover,city,01,AL,Alabama,2020
01117030221,030221,tract,0135896,Hoover,city,01,AL,Alabama,2020
01117030304,030304,tract,0135896,Hoover,city,01,AL,Alabama,2020
01117030305,030305,tract,0135896,Hoover,city,01,AL,Alabama,2020
01117030314,030314,tract,0135896,Hoover,city,01,AL,Alabama,2020
01117030315,030315,tract,0135896,Hoover,city,01,AL,Alabama,2020
01117030330,030330,tract,0135896,Hoover,city,01,AL,Alabama,2020
01117030331,030331,tract,0135896,Hoover,city,01,AL,Alabama,2020
01117030336,030336,tract,0135896,Hoover,city,01,AL,Alabama,2020
01117030346,030346,tract,0135896,Hoover,city,01,AL,Alabama,2020
01117030347,030347,tract,0135896,Hoover,city,01,AL,Alabama,2020
01117030348,030348,tract,0135896,Hoover,city,01,AL,Alabama,2020
01117030350,030350,tract,0135896,Hoover,city,01,AL,Alabama,2020
01117030351,030351,tract,0135896,Hoover,city,01,AL,Alabama,2020
01117030352,030352,tract,0135896,Hoover,city,01,AL,Alabama,2020
01083020803,020803,tract,0137000,Huntsville,city,01,AL,Alabama,2020
01083021101,021101,tract,0137000,Huntsville,city,01,AL,Alabama,2020
01083021201,021201,tract,0137000,Huntsville,city,01,AL,Alabama,2020
01083021202,021202,tract,0137000,Huntsville,city,01,AL,Alabama,2020
01083021203,021203,tract,0137000,Huntsville,city,01,AL,Alabama,2020
01089000203,000203,tract,0137000,Huntsville,city,01,AL,Alabama,2020
01089000301,000301,tract,0137000,Huntsville,city,01,AL,Alabama,2020
01089000302,000302,tract,0137000,Huntsville,city,01,AL,Alabama,2020
01089000403,000403,tract,0137000,Huntsville,city,01,AL,Alabama,2020
01089000501,000501,tract,0137000,Huntsville,city,01,AL,Alabama,2020
01089000502,000502,tract,0137000,Huntsville,city,01,AL,Alabama,2020
01089000503,000503,tract,0137000,Huntsville,city,01,AL,Alabama,2020
