metro_nonmetro,year,county_name,state_abbr,geoId,value
Metropolitan,2010,"Anchorage Municipality",AK,us-ak-020,78.62
Metropolitan,2010,"Fairbanks North Star Borough",AK,us-ak-090,79.25
Metropolitan,2010,"Matanuska-Susitna Borough",AK,us-ak-170,78.02
Metropolitan,2010,"Autauga County",AL,us-al-001,75.74
Metropolitan,2010,"Baldwin County",AL,us-al-003,77.8
Metropolitan,2010,"Bibb County",AL,us-al-007,74.13
Metropolitan,2010,"Blount County",AL,us-al-009,76.41
Metropolitan,2010,"Calhoun County",AL,us-al-015,74.11
Metropolitan,2010,"Chilton County",AL,us-al-021,74.5
Metropolitan,2010,"Colbert County",AL,us-al-033,75.26
Metropolitan,2010,"Elmore County",AL,us-al-051,75.95
Metropolitan,2010,"Etowah County",AL,us-al-055,73.86
Metropolitan,2010,"Geneva County",AL,us-al-061,75.65
Metropolitan,2010,"Hale County",AL,us-al-065,73.93
Metropolitan,2010,"Henry County",AL,us-al-067,75.82
Metropolitan,2010,"Houston County",AL,us-al-069,76.7
Metropolitan,2010,"Jefferson County",AL,us-al-073,75.11
Metropolitan,2010,"Lauderdale County",AL,us-al-077,76.55
Metropolitan,2010,"Lawrence County",AL,us-al-079,74.55
Metropolitan,2010,"Lee County",AL,us-al-081,77.17
Metropolitan,2010,"Limestone County",AL,us-al-083,77.15
Metropolitan,2010,"Lowndes County",AL,us-al-085,72.78
Metropolitan,2010,"Madison County",AL,us-al-089,77.79
Metropolitan,2010,"Mobile County",AL,us-al-097,74.95
Metropolitan,2010,"Montgomery County",AL,us-al-101,75.93
Metropolitan,2010,"Morgan County",AL,us-al-103,75.92
Metropolitan,2010,"Pickens County",AL,us-al-107,74.66
Metropolitan,2010,"Russell County",AL,us-al-113,73.87
Metropolitan,2010,"Shelby County",AL,us-al-117,79.18
Metropolitan,2010,"St. Clair County",AL,us-al-115,75.35
Metropolitan,2010,"Tuscaloosa County",AL,us-al-125,75.86
Metropolitan,2010,"Walker County",AL,us-al-127,72.12
Metropolitan,2010,"Benton County",AR,us-ar-007,79.53
Metropolitan,2010,"Cleveland County",AR,us-ar-025,76.17
Metropolitan,2010,"Craighead County",AR,us-ar-031,76.08
Metropolitan,2010,"Crawford County",AR,us-ar-033,75.97
Metropolitan,2010,"Crittenden County",AR,us-ar-035,72.35
Metropolitan,2010,"Faulkner County",AR,us-ar-045,77.31
Metropolitan,2010,"Garland County",AR,us-ar-051,75.81
Metropolitan,2010,"Grant County",AR,us-ar-053,76.08
Metropolitan,2010,"Jefferson County",AR,us-ar-069,74.51
Metropolitan,2010,"Lincoln County",AR,us-ar-079,76.34
Metropolitan,2010,"Little River County",AR,us-ar-081,75.19
Metropolitan,2010,"Lonoke County",AR,us-ar-085,75.92
Metropolitan,2010,"Madison County",AR,us-ar-087,76.52
Metropolitan,2010,"Miller County",AR,us-ar-091,75.75
Metropolitan,2010,"Perry County",AR,us-ar-105,75.59
Metropolitan,2010,"Poinsett County",AR,us-ar-111,72.58
Metropolitan,2010,"Pulaski County",AR,us-ar-119,76.31
Metropolitan,2010,"Saline County",AR,us-ar-125,78.1
Metropolitan,2010,"Sebastian County",AR,us-ar-131,76.47
Metropolitan,2010,"Washington County",AR,us-ar-143,78.12
Metropolitan,2010,"Cochise County",AZ,us-az-003,78.51
Metropolitan,2010,"Coconino County",AZ,us-az-005,79.11
Metropolitan,2010,"Maricopa County",AZ,us-az-013,79.84
Metropolitan,2010,"Mohave County",AZ,us-az-015,75.28
Metropolitan,2010,"Pima County",AZ,us-az-019,79.12
Metropolitan,2010,"Pinal County",AZ,us-az-021,79.57
